"BID";"b_Seq";"b_Subject";"b_ISBN";"b_Call_number";"b_Barcode";"b_Format";"b_Title";"b_Author";"b_Publisher";"b_Publication_year";"b_Borrowed_by";"b_Due_Date";"b_renewed"
222;"C30";"靈修禱告";"9789628838097    ";"C30MJD";"LTC0151";"";"俗世中的安息日操練 (初版二刷)";"唐慕華 (Marva J. Dawn), 陳永財譯";"學生福音團契 Fes";"";"";"";0
223;"C30";"靈修禱告";"";"C30LHC";"LTC0152";"";"靈修著作精選生命成長17課—學習聖靈果子和八福";"羅慶才著";"基道";"";"";"";0
224;"C30";"靈修禱告";"9789624571424    ";"C30TKH";"LTC0153";"";"靈修著作精選靈程答客問 the Quest for spirituality";"蔡貴恆 /葉萬壽 /黎汝佳合著";"基道";"";"";"";0
225;"C30";"靈修禱告";"9789624573886    ";"C30TM";"LTC0154";"";"靈修著作精選靜修靈旅—在靜默和歌聲中默想聖經";"泰澤Taize著, 陳翠婷譯";"基道";"";"";"";0
226;"C30";"靈修禱告";"";"C30YMK";"LTC0155";"";"耶穌靈修系列奉主的名—禱告的操練";"楊牧谷";"卓越";"";"";"";0
227;"C30";"靈修禱告";"";"C30CCT";"LTC0156";"";"患難中的天使 (四十日靈修)";"";"中國宣道神學院";"";"";"";0
228;"C30";"靈修禱告";"";"C30TS";"LTC0157";"";"陶恕選輯義人之根 (第三版)";"陶恕";"宣道";"";"";"";0
229;"C30";"靈修禱告";"9789622440104    ";"C30TS";"LTC0158";"";"陶恕選輯渴慕神 (第十七版)";"陶恕";"宣道";"";"";"";0
230;"C30";"靈修禱告";"";"C30WYT";"LTC0159";"";"""桌前"""" 默想 (第二版)""";"胡恩德";"宣道";"";"";"";0
231;"C30";"靈修禱告";"9789622941700    ";"C30BJ";"LTC0160";"";"靈修系列 1私禱日新";"貝利約翰";"文藝";"";"";"";0
232;"C30";"靈修禱告";"9789881820105    ";"C30CME";"LTC0161";"";"120個神的應許";"程蒙恩";"主恩";"";"";"";0
233;"C30";"靈修禱告";"9789624572254    ";"C30TM";"LTC0162";"";"靈修著作精選默觀的新苗 New Seeds of contemplation";"梅頓著, 羅燕明譯";"基道";"";"";"";0
234;"C30";"靈修禱告";"9789622085534    ";"C30KPC";"LTC0163";"";"靈命長進系列如何經歷神的同在";"鄺炳釗";"天道";"";"";"";0
235;"C30";"靈修禱告";"9789889820350    ";"C30LWH";"LTC0164";"";"時代信息叢書共享詩篇靈筵";"林榮洪著";"明道社";"";"";"";0
236;"C30";"靈修禱告";"9789881300270    ";"C30AC";"LTC0165";"";"靈修系列渴想聖潔";"";"宣道會香港區聯會";"";"";"";0
237;"C30";"靈修禱告";"9789881300270    ";"C30AC";"LTC0166";"";"靈修系列渴想救贖";"";"宣道會香港區聯會";"";"";"";0
238;"C30";"靈修禱告";"9789881300270    ";"C30AC";"LTC0167";"";"靈修系列渴想醫治";"";"宣道會香港區聯會";"";"";"";0
239;"C30";"靈修禱告";"9789881300270    ";"C30AC";"LTC0168";"";"靈修系列渴想再臨";"";"宣道會香港區聯會";"";"";"";0
240;"C30";"靈修禱告";"9789622085442    ";"C30LP";"LTC0169";"";"天道信徒生活叢書信心的禱告．從《雅比斯的禱告》說起";"李保羅";"天道";"";"";"";0
241;"C30";"靈修禱告";"9789622089815    ";"C30CMK";"LTC0170";"";"拉比靈修：最後的一堂課";"陳文紀 (Man-ki Chan)";"天道書樓";"2014";"";"";0
242;"C30";"靈修禱告";"9789624570601    ";"C30RJF";"LTC0171";"";"靈修著作精選禱告真諦：尋找心靈真正歸宿";"傅士德 (Richard J. Foster)";"基道出版社";"1993";"";"";0
243;"C30";"靈修禱告";"9628294016    ";"C30BPH";"LTC0172";"";"靈修學系列 (1)基督宗教靈修神學簡史";"候特 (Bradley P. Holt)";"道風山基督教叢林";"2007";"";"";0
244;"C30";"靈修禱告";"9789579183512    ";"C30SO";"LTC0173";"";"如何為你的丈夫禱告";"Stormie Omartian";"以琳書房";"1999";"";"";0
245;"C30";"靈修禱告";"9789625130477    ";"C30CBI";"LTC0174";"";"創世記: 聖經靈修版";"漢語聖經協會";"漢語聖經協會";"1998";"";"";0
246;"C30";"靈修禱告";"9789625130880    ";"C30CBI";"LTC0175";"";"詩篇‧靈修版";"漢語聖經協會";"漢語聖經協會";"1998";"";"";0
247;"C30";"靈修禱告";"9789625130910    ";"C30CBI";"LTC0176";"";"保羅書信•靈修版";"漢語聖經協會";"漢語聖經協會";"1998";"";"";0
248;"C30";"靈修禱告";"9689628450025    ";"C30WWY";"LTC0249";"書籍";"啟迪系列如何按照神的旨意祈禱？";"温偉耀";"卓越使團";"1998";"";"";0
249;"C30";"靈修禱告";"9789625134024";"C30HMT";"LTC0267";"書籍";"媽媽。媽咪。親子靈修";"小麥子著";"漢語聖經協會";"1990";"";"";0
250;"C30";"靈修禱告";"9789579183888";"C30SO";"LTC0274";"書籍";"如何為你的妻子禱告";"史多美．奧瑪森著, 陳晨光譯";"以琳書房";"2002";"";"";0
251;"C40";"見證故事";"9789881962911    ";"C40chlt";"LTC0177";"書籍";"飛媽手記 — 飛飛蜜語";"陳謝麗婷 (飛媽)";"宣道";"";"";"";0
252;"C40";"見證故事";"9789622445055    ";"C40LP";"LTC0178";"書籍";"宣教見證系列宣道與中華─宣道會早期在華宣教史略";"羅腓力";"宣道出版社";"";"";"";0
253;"C40";"見證故事";"9789881696014    ";"C40psc";"LTC0180";"書籍";"近代屬靈偉人系列(一)盧雲的誠與愛";"彭順強";"基道";"";"";"";0
254;"C40";"見證故事";"9789579466851    ";"C40hth";"LTC0181";"書籍";"孤兒之父：計志文牧師傳";"黃燈煌";"天恩出版社";"";"";"";0
255;"C40";"見證故事";"9627409413    ";"C40tyc";"LTC0182";"書籍";"崇拜叢書之三紀念與見證：主餐與水禮";"唐佑之";"卓越書樓";"";"";"";0
256;"C40";"見證故事";"9789575563714    ";"C40cpk";"LTC0183";"書籍";"當代生命見證 VII我錯了－金貝克的悔改";"金貝克著, 楊香芸譯";"橄欖出版社";"";"";"";0
257;"C40";"見證故事";"9789881688941    ";"C40CKC";"LTC0184";"書籍";"天國好MAN (第1輯)";"梁家麟 /蕭壽華 /司徒永富";"全港教會男士小組聯盟";"";"";"";0
258;"C40";"見證故事";"9789622447851    ";"C40ycss";"LTC0185";"書籍";"生命見證系列不一樣的愛";"葉陳淑淑著";"宣道出版社";"";"";"";0
259;"C40";"見證故事";"9623800592    ";"C40RB";"LTC0186";"書籍";"這是我的立場 : 改教先導馬丁路德傳記";"羅倫培登著, 陸中石譯";"道聲出版社";"";"";"";0
260;"C40";"見證故事";"9789578763876    ";"C40YGL";"LTC0187";"書籍";"疾風烈火 (Fresh Wind, Fresh Fire)";"辛傑米 /梅定恩著, 楊高俐理譯";"雅歌出版社";"";"";"";0
261;"C40";"見證故事";"9789628787425    ";"C40LJH";"LTC0188";"書籍";"'阿湯'心靈管理不醉紅塵—遨遊書海的靈光乍現";"李錦洪著";"阿湯圖書";"";"";"";0
262;"C40";"見證故事";"9789622448704    ";"C40ke";"LTC0189";"書籍";"神的選民：猶太拉比高恩博士的見證";"高恩 (Dr.Rabbi Leopold Cohn)";"選民事工差會";"";"";"";0
263;"C40";"見證故事";"4895105400772    ";"C40WNF";"LTC0190";"書籍";"宣道會見證集我在這裡見證你";"王礽福編";"宣道會區聯會";"";"";"";0
264;"C40";"見證故事";"9889732734    ";"C40ckh";"LTC0191";"書籍";"勵志系列再向生命致敬：十四個真實動人的故事";"陳廣慧編";"真證傳播";"";"";"";0
265;"C40";"見證故事";"9627048801    ";"C40mt";"LTC0192";"書籍";"靈修著作精選憑著愛 (四版)";"德蘭修女著, 王麗萍譯";"基道書樓";"";"";"";0
266;"C40";"見證故事";"9623800479    ";"C40HLK";"LTC0193";"書籍";"馬丁路德傳 The Life of Martin Luther";"何禮魁著, 陳建勛 /戴懷仁譯";"道聲出版社";"";"";"";0
267;"C40";"見證故事";"9789628815616    ";"C40ccy";"LTC0194";"書籍";"談天說道系列七這次我們遇上了—人物訪問集";"趙潔儀 /鄧子俊 /區祥江";"環球天道傳基";"";"";"";0
268;"C40";"見證故事";"9622443893    ";"C40HLT";"LTC0195";"書籍";"杏林子作品精選2杏林子";"杏林子著";"宣道出版社";"";"";"";0
269;"C40";"見證故事";"1565820126    ";"C40pkl";"LTC0196";"書籍";"密室 (二次世界大戰中的真實故事)";"彭柯麗著, 周天和譯";"更新傳道會";"";"";"";0
270;"C40";"見證故事";"9789629330552    ";"C40CLH";"LTC0197";"書籍";"伴我同行 (原名: 失明給我我的挑戰)";"程文輝";"浸信會";"";"";"";0
271;"C40";"見證故事";"9789627998044    ";"C40CSG";"LTC0198";"書籍";"院牧叢書 (3)燃點生命結伴行─醫院院牧部探訪義工見證集";"院牧事工聯會";"宣道出版社";"";"";"";0
272;"C40";"見證故事";"9789889749361    ";"C40CYW";"LTC0199";"書籍";"香港6大紀律部隊見證集紀律雲彩伴主行";"陳一華";"創世記";"";"";"";0
273;"C50";"職場";"9789629331610    ";"C50MCR";"LTC0253";"書籍";"不再一樣的工作間";"駱邁克、金科德(Mike C.Rogers,Claude V.King)葉自菁譯";"浸信會";"2001";"";"";0
274;"C50";"職場";"9789622447509    ";"C50YSL";"LTC0254";"書籍";"為誰辛苦為誰忙: 基督徒工作觀的探討";"楊世禮.";"宣道出版社";"2011";"";"";0
275;"C50";"職場";"9789867470058    ";"C50RD";"LTC0255";"書籍";"僕人領導學";"羅伯‧格林里夫";"啟示出版社";"2004";"";"";0
276;"C50";"職場";"9789628998340    ";"C50WCW";"LTC0256";"書籍";"關係式領導－感染力及服侍的聖經模式";"沃爾特．賴特(Walter C. Wright)";"福音證主協會";"2012";"";"";0
277;"C50";"職場";"9789622087101    ";"C50YCM";"LTC0257";"書籍";"打拼人生＠男人：上帝的計劃職場金錢";"葉松茂";"天道書樓";"2007";"";"";0
278;"C50";"職場";"9789624574142    ";"C50SW";"LTC0258";"書籍";"權力與激情. 六個追尋復活的人物";"塞繆爾．威爾斯(Samuel Wells)";"基道書樓";"2011";"";"";0
279;"C50";"職場";"9789628838387    ";"C50SG";"LTC0259";"書籍";"生命 at 職場 之基礎原則4休息有時";"紀士芬, 安道文, 胡世安(Stephen Graves, Thomas Addington,Sean Womack)";"香港基督徒學生福音團契(FES)";"2005";"";"";0
280;"C50";"職場";"9789628838318    ";"C50SG";"LTC0260";"書籍";"生命 at 職場之基礎原則1別為鬥心抓狂";"紀士芬, 安道文, 胡世安(Stephen Graves, Thomas Addington,Sean Womack)";"香港基督徒學生福音團契(FES)";"2005";"";"";0
281;"C50";"職場";"9789628838325    ";"C50SG";"LTC0261";"書籍";"生命 at 職場之基礎原則2操守的兩難";"紀士芬, 安道文, 胡世安(Stephen Graves, Thomas Addington,Sean Womack)";"香港基督徒學生福音團契(FES)";"2004";"";"";0
282;"C50";"職場";"9789628838370    ";"C50SG";"LTC0262";"書籍";"生命 at 職場之基礎原則3召命如此美好";"紀士芬, 安道文, 胡世安(Stephen Graves, Thomas Addington,Sean Womack)";"香港基督徒學生福音團契(FES)";"2005";"";"";0
283;"C50";"職場";"9627048666    ";"C50RJF";"LTC0263";"書籍";"基督徒看「權勢」(Power)";"傅士德(Richard J. Foster)周天和譯";"基道書樓";"1988";"";"";0
284;"C50";"職場";"9789881911919    ";"C50GPS";"LTC0264";"書籍";"從警察故事看職場事奉";"龔柏成";"天道書樓";"2010";"";"";0
285;"C50";"職場";"9789622084070    ";"C50SA";"LTC0265";"書籍";"事業感情兩得意";"阿特伯恩(Stephen Arterburn)高美儀譯";"天道書樓";"初版2000/1,2版2002/6";"";"";0
286;"C50";"職場";"9789628838387    ";"C50SG";"LTC0317";"書籍";"生命 at 職場 之基礎原則5師徒備忘錄";"紀士芬, 安道文, 胡世安(Stephen Graves, Thomas Addington,Sean Womack)";"香港基督徒學生福音團契(FES)";"2005";"";"";0
287;"C60";"家庭";"9789888392094    ";"C60NYK";"LTC0250";"書籍";"與青少年溝通的技法和心法當子女說你好煩";"2018/1月5刷";"突破";"";"";"";0
288;"C60";"家庭";"9789888392094    ";"C60NYK";"LTC0251";"DVD";"與青少年溝通的技法和心法當子女說你好煩 DVD";"2018/1月5刷";"突破";"";"";"";0
289;"C60";"家庭";"9789622083523";"C60DL";"LTC0268";"書籍";"親密時光";"丹尼斯．雷尼、巴巴拉．雷尼著, 余家寶、何瑞清譯";"天道書樓";"1998";"";"";0
290;"C60";"家庭";"9789881523389";"C60CHKY";"LTC0269";"書籍";"讓家長成為孩子的屬靈師傅兒童事工大覺醒";"陳黃家儀著";"基稻田出版社";"2016";"";"";0
291;"C60";"家庭";"9781938878053    ";"C60MA";"LTC0270";"書籍";"作孩子的心靈導師";"：蜜雪兒．安東妮 (Michelle Anthony)";"福音證主協會";"2014";"";"";0
292;"C60";"家庭";"9789578972179";"C60SN";"LTC0271";"書籍";"永續親密";"丹尼斯·芮尼著, 顧美芬譯";"學園傳道會";"1995";"";"";0
293;"C60";"家庭";"9789575873998";"C60FLL";"LTC0272";"書籍";"父母手冊";"傅萊林夫婦著, 陳逸群譯";"校園書房出版社";"1994";"";"";0
294;"C60";"家庭";"9789575560140";"C60LD";"LTC0273";"書籍";"丈夫未信主怎麼辦";"琳達．戴維斯著, 鄭夙君譯";"橄欖文化";"1988";"";"";0
295;"C60";"家庭";"9789575875176";"C60STF";"LTC0275";"書籍";"值得等";"史代富著, 林麗卿、陳侶君等譯";"校園書房出版社";"1997";"";"";0
296;"C60";"家庭";"9789579899833";"C60ED";"LTC0276";"書籍";"擁抱今天";"艾美．迪恩著, 曹嬿恆譯";"雅音出版";"1997";"";"";0
297;"C60";"家庭";"9622710247";"C60CJY";"LTC0277";"書籍";"離婚與再婚 — 基督徒的觀點";"陳若愚著";"中國神學研究院";"1991";"";"";0
298;"C60";"家庭";"9789624574357    ";"C60CCM";"LTC0278";"書籍";"當衝突遇上和好";"鄧瑞強,趙崇明";"基道出版社";"2012";"";"";0
299;"C60";"家庭";"9789889820510";"C60CC";"LTC0279";"書籍";"愛的雕琢-如何作成功父母";"竹君著";"畔溪基金會";"2012";"";"";0
300;"C60";"家庭";"9789889903237";"C60CWH";"LTC0280";"書籍";"個人成長 (二版)家庭成長歷程";"屈偉豪著";"飛躍網絡國際有限公司";"2009";"";"";0
301;"C60";"家庭";"9789624571110";"C60CCS";"LTC0281";"書籍";"性情男女";"鄭建生著";"毅志有限公司";"1997";"";"";0
302;"C60";"家庭";"4892511000695";"C60MG";"LTC0282";"書籍";"心意相通 — 建立親密的人際關係";"麥哥登、麥嘉玲著, 邵樟平、邵尹妙珍譯";"福音證主協會";"1997";"";"";0
303;"C60";"家庭";"9789622082663";"C60LP";"LTC0283";"書籍";"相知相交戀愛中 — 戀愛約會十三次";"李保羅、李榮鳳著";"天道書樓";"1995";"";"";0
304;"C60";"家庭";"9789622083486";"C60CB";"LTC0284";"書籍";"男女幸不同";"克萊布著, 陳文深譯";"天道書樓";"1998";"";"";0
305;"C60";"家庭";"9789628266715";"C60FB";"LTC0285";"書籍";"與爸媽共舞 — 讓中學生與父母建立互信互敬的關係";"庫爾特．比克爾著, 林莉如譯";"香港基督徒學生福音團契";"2001";"";"";0
306;"C60";"家庭";"9789628266418";"C60WM";"LTC0286";"書籍";"性愛：基督徒的觀點—讓中學生作負責任的性決定";"沃爾特．馬爾金著";"香港基督徒學生福音團契";"2001";"";"";0
307;"C60";"家庭";"4892511004068";"C60MTW";"LTC0287";"書籍";"Click進少年心";"麥道衛著, 董婉儀譯";"福音證主協會";"2003";"";"";0
308;"C60";"家庭";"9789622648715";"C60OCH";"LTC0288";"書籍";"健康家庭工程師";"區祥江著";"突破出版社";"2001";"";"";0
309;"C60";"家庭";"9789624574340";"C60LPS";"LTC0316";"書籍";"讓他走，該走的路—塑造孩子未來的九種性格特質";"萊斯．帕羅特三世、老萊斯利．帕羅特著, 陳翠婷譯";"基道";"2012";"";"";0
310;"D10";"心靈關顧";"9789627997504    ";"D10LYC";"LTC0289";"書籍";"心靈輔導";"李耀全";"建道神學院";"2002";"";"";0
311;"D10";"心靈關顧";"9789622449268    ";"D10CKM";"LTC0290";"書籍";"放下傷痛：助人及自助手冊（修訂版）";"吳燕玲、嚴鎮國 (Tabitha Ng, Chun Kwok Yim)";"宣道";"2012";"";"";0
312;"D10";"心靈關顧";"9789622449763    ";"D10YYL";"LTC0291";"書籍";"給我一個Baby";"葉菁、葉應霖";"宣道";"2013";"";"";0
313;"D10";"心靈關顧";"9789863592310    ";"D10SS";"LTC0292";"書籍";"情緒之書：156種情緒考古學，探索人類情感的本質、歷史、演化與表現方式";"蒂芬妮．史密斯";"木馬文化";"2016";"";"";0
314;"D10";"心靈關顧";"9789628664405    ";"D10LYC";"LTC0293";"書籍";"逆境中的心靈探索與導引";"李耀全 (Lee, Simon Y.C.)";"匯美傳意";"2004";"";"";0
315;"D10";"心靈關顧";"9799626782582    ";"D10KPS";"LTC0294";"書籍";"為情所困—走出情緒病深淵";"郭碧珊";"經濟日報出版社";"2007";"";"";0
316;"D10";"心靈關顧";"9789579483544    ";"D10JL";"LTC0295";"書籍";"饒恕的藝術";"珍妮特．洛克比";"學園傳道會";"1987";"";"";0
317;"D10";"心靈關顧";"9789810557997    ";"D10TCML";"LTC0296";"書籍";"成年路峰迴迭轉--成年過渡探知";"曾邱妙玲";"新加坡神學院";"2006";"";"";0
318;"D10";"心靈關顧";"9789628266166    ";"D10DC";"LTC0297";"書籍";"傷痛不代傳：從機能失調的家庭中復原";"卡德、韓斯年 (Dave Carder, Earl Henslin)";"香港基督徒學生福音團契（FES）";"2001";"";"";0
319;"D10";"心靈關顧";"9789628528639    ";"D10CWL";"LTC0298";"書籍";"哀傷輔導手冊：概念與方法 ";"陳維樑, 鍾莠荺";"贐明會";"1999";"";"";0
320;"D10";"心靈關顧";"9789622087613    ";"D10MJD";"LTC0299";"書籍";"在軟弱中享安好";"唐慕華 (Marva J. Dawn)";"天道書樓";"2009";"";"";0
321;"D10";"心靈關顧";"9789622643369    ";"D10OCH";"LTC0300";"書籍";"情緒有益";"李兆康、區祥江";"突破";"2015";"";"";0
322;"D10";"心靈關顧";"9789627080718    ";"D10SYJ";"LTC0301";"書籍";"情緒逼人來：處理情緒研經12課";"蘇穎睿";"香港基督徒學生福音團契（FES）";"2010";"";"";0
323;"D10";"心靈關顧";"9789624573213    ";"D10KK";"LTC0302";"書籍";"情緒四重奏：同行生命中的憂怒哀樂";"葛琳卡 (Katherine Kot)";"基道";"2007";"";"";0
324;"D10";"心靈關顧";"9789628064175    ";"D10PKH";"LTC0303";"書籍";"完全紓壓手冊";"鮑傑輝、白國漢著";"美地出版社";"2002";"";"";0
325;"D10";"心靈關顧";"9789628266098    ";"D10UK";"LTC0304";"書籍";"醫冶的愛讓神塑造你的性格 (第二版)";"穆丹•穆凱蒂著";"香港基督徒學生福音團契";"1998";"";"";0
326;"D10";"心靈關顧";"9789622940284    ";"D10CYH";"LTC0305";"書籍";"全人醫治 (增訂版)";"陳一華";"基督教文藝出版社";"2011";"";"";0
327;"D10";"心靈關顧";"9789622086333    ";"D10OCH";"LTC0306";"書籍";"強心健靈";"區祥江";"天道書樓";"2005";"";"";0
328;"D10";"心靈關顧";"9789627498018    ";"D10HPK";"LTC0307";"書籍";"蛻變見曙光: 女性賭徒的希望與出路";"何秉光, 莫玉蘭";"工業福音團契175 ";"2008";"";"";0
329;"D10";"心靈關顧";"9789622942493    ";"D10CYH";"LTC0308";"書籍";"癌情心語：靈性關顧的藝術";"陳一華";"基督教文藝";"2016";"";"";0
330;"D10";"心靈關顧";"9789579183369    ";"D10CHK";"LTC0309";"書籍";"深度創傷：深度醫治 (上)";"柯瑞福 (Charles H. Kraft)";"以琳書房";"1997";"";"";0
331;"D10";"心靈關顧";"9789579183376    ";"D10CHK";"LTC0310";"書籍";"深度創傷：深度醫治 (下)";"柯瑞福 (Charles H. Kraft)";"以琳書房";"1997";"";"";0
332;"D10";"心靈關顧";"9623800223    ";"D10JHC";"LTC0311";"書籍";"美滿姻緣：婚前婚後的成長輔導";"浩義．克萊貝爾 (Howard John Clinebell)";"道聲";"1989";"";"";0
333;"D10";"心靈關顧";"9789628791330    ";"D10OCH";"LTC0312";"書籍";"因子之名─父親培育男孩的挑戰";"區祥江";"突破";"2004";"";"";0
334;"D10";"心靈關顧";"9789622646339    ";"D10OCH";"LTC0313";"書籍";"生命軌跡—助人成長的十大關鍵";"區祥江";"突破";"2000";"";"";0
335;"D10";"心靈關顧";"9789627498094    ";"D10HPK";"LTC0314";"書籍";"怡情的代價II : 十位愛賭博困擾的家書";"何秉光編輯.";"澳門工業福音團契";"2004";"";"";0
336;"D10";"心靈關顧";"9627409499    ";"D10YMK";"LTC0315";"書籍";"從創傷到醫治";"楊牧谷";"聖約團契";"1995";"";"";0
337;"E20";"社會政治";"9789627922575    ";"E20LCT";"LTC0318";"書籍";"無障礙敬拜—照顧智障人士的靈性需要";"林正財";"Jidu jiao ling shi xie hui";"2018";"";"";0
338;"E20";"社會政治";"9789624572377    ";"E20";"LTC0319";"書籍";"香港我愛";"時代論壇主編";"基督、時代論壇";"2003";"";"";0
339;"E20";"社會政治";"9789622446052    ";"E20KCW";"LTC0320";"書籍";"是非、曲直—對人權、同性戀的倫理反思";"關啟文";"宣道出版社";"1990";"";"";0
340;"E20";"社會政治";"9628082035    ";"E20SYC";"LTC0321";"書籍";"異端辨惑";"蘇穎智";"恩福製作中心2000";"2000";"";"";0
341;"E20";"社會政治";"9789622447875    ";"E20CME";"LTC0322";"書籍";"防範異端";"程蒙恩";"宣道出版社";"2013";"";"";0
342;"E20";"社會政治";"9789881601230    ";"E20CYH";"LTC0323";"書籍";"與我何干：陳一華心耕無牆教會";"陳一華";"從心會社有限公司";"2012";"";"";0
343;"E20";"社會政治";"9789889973179    ";"E20MKT";"LTC0324";"書籍";"中國民間信仰揭秘";"馬國棟、劉志良";"香港短宣中心";"2008";"";"";0
344;"E20";"社會政治";"9789574163168    ";"E20CKK";"LTC0325";"書籍";"佛教真相";"張國騤";"中福出版有限公司";"2009";"";"";0
345;"E20";"社會政治";"9789622080102    ";"E20WWY";"LTC0326";"書籍";"共產主義與基督教";"溫偉耀";"天道書樓";"1979";"";"";0
346;"E20";"社會政治";"";"E20CTE";"LTC0327";"書籍";"中共對基督教的政策";"趙天恩著";"智";"";"";"";0
347;"E20";"社會政治";"9789629337483    ";"E20MC";"LTC0328";"書籍";"忠孝兩全：當代華人基督徒祭祖實用指引";"麥兆、顧瓊華";"浸信會";"2008";"";"";0
348;"E20";"社會政治";"";"E20";"LTC0329";"書籍";"傘下細語";"";"";"2015";"";"";0
349;"E20";"社會政治";"9789889973179    ";"E20MKT";"LTC0356";"書籍";"中國民間信仰揭秘 (增訂版)";"馬國棟、劉志良";"香港短宣中心";"2008";"";"";0
350;"E10";"教會節期、禮儀";"9789622083240    ";"E10CL";"LTC0341";"書籍";"敬拜主基督 — 敬拜生活指南";"卡羅爾著, 陳恩明譯";"天道書樓";"1992";"";"";0
351;"E10";"教會節期、禮儀";"9789622443969    ";"E10TS";"LTC0342";"書籍";"敬拜的真義";"陶恕著, 吳啟偉譯";"宣道出版社";"1979";"";"";0
352;"E10";"教會節期、禮儀";"9622027059    ";"E10LKC";"LTC0343";"書籍";"可喜悅的祭 — 事奉者的操守";"盧家馼著";"福音證主協會";"1999";"";"";0
353;"E10";"教會節期、禮儀";"9622080154    ";"E10RR";"LTC0345";"書籍";"朝見永生神 — 集體崇拜的再思";"羅拔．雷本、吳羅瑜著";"天道書樓";"2007";"";"";0
354;"E10";"教會節期、禮儀";"9628364030    ";"E10CCM";"LTC0346";"書籍";"更新敬拜讚美實用手冊";"吉中鳴著";"中鳴製作有限公司";"2017";"";"";0
355;"E10";"教會節期、禮儀";"9627409359    ";"E10TYC";"LTC0347";"書籍";"主日的禮讚 — 自安息日至主日";"唐佑之著";"真理基金會有限公司";"2000";"";"";0
356;"E10";"教會節期、禮儀";"9789622947283    ";"E10CJ";"LTC0348";"書籍";"聖樂事工（上）音樂與職事──聖經的對位";"加爾文．約翰遜著, 伍德榮譯";"基督教文藝";"1998";"";"";0
357;"E10";"教會節期、禮儀";"9789622447394    ";"E10CMACUHK";"LTC0349";"書籍";"宣道會崇拜模式指引";"宣道會香港區聯會崇拜模式指引委員會著";"宣道出版社";"2003";"";"";0
358;"E10";"教會節期、禮儀";"9789627997252    ";"E10LPC";"LTC0350";"書籍";"脫俗尋真 — 聖樂與崇拜評論集";"黎本正著";"建道神學院";"2006";"";"";0
359;"E10";"教會節期、禮儀";"";"E10TCCC";"LTC0351";"書籍";"普天崇拜";"中華基督教會、美以美會、中華浸禮協會、華北公理會編訂";"基督教文藝出版社";"1980";"";"";0
360;"E10";"教會節期、禮儀";"9789881388698    ";"E10TCC";"LTC0352";"書籍";"覲主求知：聖樂與崇拜研討營文集2013-2016";"譚靜芝著";"香港聖樂促進會";"2012";"";"";0
361;"E10";"教會節期、禮儀";"9789627997832    ";"E10LPC";"LTC0353";"書籍";"崇拜領導職事探討";"黎本正著";"建道神學院";"2015";"";"";0
362;"E10";"教會節期、禮儀";"9789622445758    ";"E10WP";"LTC0354";"書籍";"崇拜：認古識今";"韋柏著, 何李穎芬譯";"宣道出版社";"2005";"";"";0
363;"E10";"教會節期、禮儀";"";"E10SW";"LTC0463";"";"公禱一take過";"Samuel Wells, Abigail Kocher";"宣道出版社";"";"";"";0
364;"E30";"教會成長";"9789624571400    ";"E30SKL";"LTC0330";"書籍";"屬靈生命的素質 — 聖靈果子研讀本（組長本）";"施家倫等著, 郭詠儀等譯";"基道";"1998";"";"";0
365;"E30";"教會成長";"9789624571417    ";"E30SKL";"LTC0331";"書籍";"屬靈生命的素質 — 聖靈果子研讀本（組員本）";"施家倫等著, 郭詠儀等譯";"基道";"1998";"";"";0
366;"E30";"教會成長";"9789629336301    ";"E30WP";"LTC0332";"書籍";"新銳福音派 — 新世代教會模式蛻變";"韋柏著, 王念慈譯";"浸信會";"2009";"";"";0
367;"E30";"教會成長";"9789627997078    ";"E30TLH";"LTC0333";"書籍";"教會職事的重尋與更新 — 從神學、歷史及實踐角度探討教會職事的更新（增訂版）";"曾立華著";"建道神學院";"2012";"";"";0
368;"E30";"教會成長";"9789889844981    ";"E30TYC";"LTC0334";"書籍";"教會管理";"唐佑之著";"真理基金會";"2005";"";"";0
369;"E30";"教會成長";"9789579189606    ";"E30MS";"LTC0335";"書籍";"熱門話題 — Young族信仰答問";"梅爾斯著, 任炎林譯";"福音證主協會";"1999";"";"";0
370;"E30";"教會成長";"4892511003153    ";"E30BT";"LTC0336";"書籍";"同心堅信 — 21世紀福音禮讚";"巴刻等著, 陳恩明譯";"福音證主協會";"2001";"";"";0
371;"E30";"教會成長";"9789628838301    ";"E30TCC";"LTC0337";"書籍";"懷道的生命 — 青少年事工屬靈指導的藝術";"丁建德、馮樂路著, 郭智嘉譯";"香港基督徒學生福音團契";"2005";"";"";0
372;"E30";"教會成長";"9789628789207    ";"E30WN";"LTC0338";"書籍";"你的屬靈恩賜";"韋拿著, 盧家馼譯";"亞洲歸主協會香港分會";"2012";"";"";0
373;"E30";"教會成長";"9627409235    ";"E30TYC";"LTC0339";"書籍";"教會在後現代的省思";"唐佑之著";"卓越出版社";"1993";"";"";0
374;"E30";"教會成長";"9789622085251    ";"E30TLH";"LTC0340";"書籍";"新世代領袖的塑造";"曾立華著";"天道書樓";"2001";"";"";0
375;"E30";"教會成長";"9623220359    ";"E30KYH";"LTC0344";"書籍";"健康教會成長要訣";"高雲漢著";"世界華人福音事工聯絡中心";"2003";"";"";0
